scope	current_package	current_path	target_package	target_path	status
request	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/EmailCodePasswordUpdateRequest.java	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/EmailCodePasswordUpdateRequest.java	already_non_dto_package
request	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/EmailRegisterRequest.java	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/EmailRegisterRequest.java	already_non_dto_package
request	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/EmailVerificationSendRequest.java	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/EmailVerificationSendRequest.java	already_non_dto_package
request	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/OAuthAuthorizeRequest.java	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/OAuthAuthorizeRequest.java	already_non_dto_package
request	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/OAuthBindRequest.java	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/OAuthBindRequest.java	already_non_dto_package
request	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/OAuthConflictConfirmRequest.java	io.github.shizuki.site.user.request.auth	model/request/src/main/java/io/github/shizuki/site/user/request/auth/OAuthConflictConfirmRequest.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCharacterCreateResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCharacterCreateResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCharacterDetailResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCharacterDetailResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCharacterImportResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCharacterImportResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCharacterSummaryResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCharacterSummaryResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCompanionConfigResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiCompanionConfigResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiMemoryScopeResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiMemoryScopeResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiMessageSendResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiMessageSendResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiQuotaStatusResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiQuotaStatusResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiSessionSummary.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiSessionSummary.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownAssetPreviewResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownAssetPreviewResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownMapNodeResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownMapNodeResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownNpcResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownNpcResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownPublicMapResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownPublicMapResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownSceneDetailResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownSceneDetailResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownSceneSummaryResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiTownSceneSummaryResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiWorldbookDetailResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiWorldbookDetailResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiWorldbookEntryResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiWorldbookEntryResponse.java	already_non_dto_package
response	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiWorldbookSummaryResponse.java	io.github.shizuki.site.ai.response	model/response/src/main/java/io/github/shizuki/site/ai/response/AiWorldbookSummaryResponse.java	already_non_dto_package
response	io.github.shizuki.site.common.response	model/response/src/main/java/io/github/shizuki/site/common/response/ActionStatusResponse.java	io.github.shizuki.site.common.response	model/response/src/main/java/io/github/shizuki/site/common/response/ActionStatusResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AppLikeResponse.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AppLikeResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AppSummary.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AppSummary.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AuthorPostItemResponse.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AuthorPostItemResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AuthorProfileResponse.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AuthorProfileResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AuthorWhisperItemResponse.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AuthorWhisperItemResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AuthorWhisperSubmitResponse.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/AuthorWhisperSubmitResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/ContentReportCreateResponse.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/ContentReportCreateResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/ContentVisibilityResponse.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/ContentVisibilityResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/LightAppBalanceAccountResponse.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/LightAppBalanceAccountResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/LightAppBalanceAnalyticsRange.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/LightAppBalanceAnalyticsRange.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/LightAppBalanceAnalyticsResponse.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/LightAppBalanceAnalyticsResponse.java	already_non_dto_package
response	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/LightAppBalanceAnalyticsSummary.java	io.github.shizuki.site.content.response	model/response/src/main/java/io/github/shizuki/site/content/response/LightAppBalanceAnalyticsSummary.java	already_non_dto_package
